signal,lambda,entry_threshold,stop_loss_mult,num_trades,total_pnl,sharpe,max_drawdown_$,worst_trade,best_trade,win_rate_%,avg_trade_pnl,ann_return_$,ann_vol_$
EWMA,0.9,1.05,1.5,67,-1640.8691485059996,-0.16748625601903835,-5199.695901280002,-1141.2480177500001,2428.922515845,47.76119402985074,-24.490584306059684,-277.14411891656295,1654.7275311059534
EWMA,0.9,1.05,2.0,67,-716.3709539879992,-0.06355863857538231,-4353.3563912619975,-1667.88134115,2428.922515845,58.2089552238806,-10.69210379086566,-120.99563029824115,1903.6850538379133
EWMA,0.9,1.05,2.5,67,387.90328761000006,0.03285599312106102,-4442.383775213999,-1850.8602169499998,2428.922515845,61.19402985074627,5.789601307611954,65.5171772638874,1994.0708236236585
EWMA,0.9,1.1,1.5,65,-2679.793834121998,-0.2881758231840556,-7027.497222772,-1833.6454745299989,1352.9272985500006,52.307692307692314,-41.22759744803075,-452.6193339133669,1570.636040568478
EWMA,0.9,1.1,2.0,64,1000.2586054799979,0.08845755802870994,-6723.936008902004,-1519.9855056750005,1352.9272985500006,62.5,6.1900216193124535,168.94448296310958,1909.8931366416045
EWMA,0.9,1.1,2.5,64,1035.0492184279954,0.0816869277501004,-7876.781301854002,-3680.5513465769995,1352.9272985500006,65.625,6.733624946624984,174.82064547175258,2140.130009621248
EWMA,0.9,1.15,1.5,60,-807.5047642220045,-0.08801830936033711,-5282.745297772001,-1833.6454745299989,1352.9272985500006,51.66666666666667,-13.458412737033337,-136.38820414473534,1549.5435567431464
EWMA,0.9,1.15,2.0,59,3023.7603201799893,0.2654974935847508,-5572.4474591520075,-1667.88134115,1352.9272985500006,66.10169491525424,41.011238954847414,510.71555005720995,1923.6172182325402
EWMA,0.9,1.15,2.5,59,1655.5115503279953,0.12945709706518782,-8237.105584854005,-3680.5513465769995,1352.9272985500006,67.79661016949152,17.820581838711874,279.6172323610287,2159.922002732906
EWMA,0.9,1.2,1.5,55,2362.6291406649952,0.2869256571295024,-4220.0230094610015,-993.9193770500001,1352.9272985500006,54.54545454545454,36.06473894063635,399.04996209623243,1390.7782457952978
EWMA,0.9,1.2,2.0,55,1272.055961151001,0.13604857819671892,-4238.404108474997,-1663.09648915,1352.9272985500006,63.63636363636363,16.23613567674547,214.8512749397133,1579.224698909017
EWMA,0.9,1.2,2.5,55,1858.109095889,0.1883110632153511,-4787.248417386999,-1663.09648915,1352.9272985500006,67.27272727272727,26.891647217436415,313.83612075337,1666.5835527383188
EWMA,0.94,1.05,1.5,65,3999.4421073070034,0.39956275353025494,-3105.3536019500007,-1465.1322410500002,2047.053152619001,56.92307692307692,61.529878573953845,675.5089886336226,1690.6205162150404
EWMA,0.94,1.05,2.0,65,2701.588190568,0.22308994861079723,-5702.723915455993,-3633.2757283729993,2047.053152619001,64.61538461538461,41.562895239507704,456.3004182460697,2045.3652039793665
EWMA,0.94,1.05,2.5,65,3467.6915551179886,0.2823517473093962,-6184.760928105998,-3633.2757283729993,2047.053152619001,66.15384615384615,53.349100847969275,585.6958926874887,2074.3483908590556
EWMA,0.94,1.1,1.5,58,1456.4524411099992,0.15168050003454037,-4519.411039413999,-739.3900942500003,2018.901663494,50.0,25.11124898465515,245.99598871294893,1621.8036508116154
EWMA,0.94,1.1,2.0,58,557.015914732002,0.051509488947699286,-4858.640241391999,-1667.88134115,2018.901663494,58.620689655172406,9.603722667793123,94.08043600031132,1826.4680532132031
EWMA,0.94,1.1,2.5,58,2043.1309396980032,0.1807269563828935,-4687.918182275999,-1838.0055447500001,2018.901663494,65.51724137931035,35.22639551203452,345.08645898384503,1909.4354593829082
EWMA,0.94,1.15,1.5,53,-7422.6257286860055,-0.87702425057933,-7528.182188586005,-2060.343453793999,655.1738037999999,43.39622641509434,-140.0495420506793,-1253.6874555153306,1429.4786657121406
EWMA,0.94,1.15,2.0,52,-6177.142970232005,-0.5699430868005373,-8780.726246804006,-1663.09648915,655.1738037999999,53.84615384615385,-126.33933543200001,-1043.3244158836899,1830.5764909625468
EWMA,0.94,1.15,2.5,52,-5255.412791933998,-0.4286556608408615,-7858.996068506,-3680.5513465769995,655.1738037999999,61.53846153846154,-108.61375508011537,-887.6434474312114,2070.7610525660343
EWMA,0.94,1.2,1.5,45,-8060.387333899007,-0.7878500915715881,-8165.943793799007,-2238.8227923900004,657.1715358499996,40.0,-179.1197185310889,-1361.4059035807973,1728.0011999047827
EWMA,0.94,1.2,2.0,45,-9534.954025614006,-0.8392441688284163,-9640.510485514007,-2238.8227923900004,657.1715358499996,46.666666666666664,-211.88786723586665,-1610.4614037900333,1918.942619569505
EWMA,0.94,1.2,2.5,45,-10539.522836415006,-0.8960952632917708,-10645.079296315007,-2238.8227923900004,657.1715358499996,48.888888888888886,-234.21161858699998,-1780.133883898513,1986.5453560810722
EWMA,0.97,1.05,1.5,59,4189.245127107002,0.4454467965007489,-2848.2547803499997,-993.9193770500001,2047.053152619001,57.6271186440678,71.00415469672882,707.5668713344265,1588.4430573814598
EWMA,0.97,1.05,2.0,59,-856.0608773819977,-0.07272244375237688,-5105.031610755999,-3633.2757283729993,2047.053152619001,62.71186440677966,-14.509506396305042,-144.58937071063232,1988.2358629608968
EWMA,0.97,1.05,2.5,59,787.7946019180022,0.06515081625645198,-5556.060703205999,-3633.2757283729993,2047.053152619001,66.10169491525424,13.352450879966158,133.0591418789119,2042.3250163920218
EWMA,0.97,1.1,1.5,51,1083.1116135070001,0.12059290610738457,-2837.4571457000006,-842.9320042000003,2047.053152619001,52.94117647058824,21.2374826177843,182.9384226566783,1516.9915757215174
EWMA,0.97,1.1,2.0,51,-957.5222633819958,-0.08332567207488625,-5479.494453155999,-3633.2757283729993,2047.053152619001,64.70588235294117,-18.77494634082348,-161.7262804103639,1940.893801192718
EWMA,0.97,1.1,2.5,51,-1176.9091469319974,-0.10175162369164506,-5930.523545606,-3633.2757283729993,2047.053152619001,64.70588235294117,-23.076649939843083,-198.78090149253575,1953.5894787776037
EWMA,0.97,1.15,1.5,44,-2416.9591834860003,-0.32017107592176464,-3651.091176985999,-2060.343453793999,1217.3241806499998,47.72727272727273,-54.93089053377273,-408.22635002578556,1275.0256994655497
EWMA,0.97,1.15,2.0,43,924.2202702180009,0.09223377521865796,-3651.4512871539973,-1519.9855056750005,1217.3241806499998,62.7906976744186,12.3655301857209,156.10154698052025,1692.4553571666281
EWMA,0.97,1.15,2.5,43,-322.33941783400047,-0.027255158307841264,-5786.075691016999,-3680.5513465769995,1217.3241806499998,65.11627906976744,-16.624230001534894,-54.44338692638614,1997.5443294608517
EWMA,0.97,1.2,1.5,35,1240.2098842869975,0.19757394697977845,-1329.9203587,-674.9833964000002,954.0853341590002,54.285714285714285,35.43456812248563,209.47244694391648,1060.2230210309856
EWMA,0.97,1.2,2.0,35,-647.2249553180018,-0.08219298326092504,-3093.959030944,-1251.8984312499997,954.0853341590002,60.0,-18.492141580514367,-109.31681550947484,1330.0017978717729
