entry_date,exit_date,expiry,strike,premium_received,exit_reason,trade_pnl,option_pnl,hedge_pnl,transaction_costs,holding_days
2020-05-04,2020-05-29,2020-06-05,19.5,377.0,near_expiry,-274.99999999999994,-274.99999999999994,0.0,0.0,18
2020-06-24,2020-07-17,2020-07-24,27.0,345.0,near_expiry,113.00000000000001,113.00000000000001,0.0,0.0,16
2020-07-23,2020-08-14,2020-08-21,29.5,248.0,near_expiry,123.0,123.0,0.0,0.0,16
2020-08-21,2020-09-11,2020-09-18,30.0,186.0,near_expiry,-118.00000000000001,-118.00000000000001,0.0,0.0,14
2020-09-23,2020-10-16,2020-10-23,28.0,229.99999999999997,near_expiry,95.0,95.0,0.0,0.0,17
2020-10-22,2020-11-13,2020-11-20,28.5,250.99999999999997,near_expiry,124.99999999999997,124.99999999999997,0.0,0.0,16
2020-12-01,2020-12-24,2020-12-31,30.5,267.0,near_expiry,14.000000000000027,14.000000000000027,0.0,0.0,17
2020-12-30,2021-01-22,2021-01-29,33.0,231.99999999999997,near_expiry,-15.000000000000023,-15.000000000000023,0.0,0.0,15
2021-01-28,2021-02-19,2021-02-26,35.0,267.0,near_expiry,-232.99999999999991,-232.99999999999991,0.0,0.0,15
2021-02-26,2021-03-19,2021-03-26,41.5,319.00000000000006,near_expiry,120.00000000000006,120.00000000000006,0.0,0.0,15
2021-05-10,2021-06-04,2021-06-11,44.5,340.0,near_expiry,44.00000000000005,44.00000000000005,0.0,0.0,18
2021-06-09,2021-07-02,2021-07-09,47.5,306.0,near_expiry,-80.00000000000003,-80.00000000000003,0.0,0.0,17
2021-07-08,2021-07-30,2021-08-06,49.5,366.0,near_expiry,168.0,168.0,0.0,0.0,16
2021-08-09,2021-09-03,2021-09-10,46.5,405.0,near_expiry,154.0,154.0,0.0,0.0,19
2021-09-20,2021-10-15,2021-10-22,49.5,361.00000000000006,near_expiry,-442.99999999999994,-442.99999999999994,0.0,0.0,19
