entry_date,exit_date,expiry,strike,premium_received,exit_reason,trade_pnl,option_pnl,hedge_pnl,transaction_costs,holding_days
2020-05-04,2020-05-21,2020-06-05,19.5,377.0,stop_loss,-737.1515738000002,-377.0,-357.2880000000001,2.8635738,13
2020-06-24,2020-07-17,2020-07-24,27.0,345.0,near_expiry,89.12147719999993,113.00000000000001,-20.68260000000008,3.1959228,16
2020-07-23,2020-08-14,2020-08-21,29.5,248.0,near_expiry,138.4271519,123.0,18.62740000000003,3.2002481,16
2020-08-21,2020-09-11,2020-09-18,30.0,186.0,near_expiry,-177.4497900500001,-118.00000000000001,-55.52810000000011,3.9216900500000005,14
2020-09-23,2020-10-16,2020-10-23,28.0,229.99999999999997,near_expiry,190.81443215000002,95.0,100.47590000000004,4.66146785,17
2020-10-22,2020-11-13,2020-11-20,28.5,250.99999999999997,near_expiry,249.48107910000013,124.99999999999997,128.22020000000015,3.7391209,16
2020-12-01,2020-12-24,2020-12-31,30.5,267.0,near_expiry,-53.32024420000019,14.000000000000027,-63.61520000000022,3.7050441999999997,17
2020-12-30,2021-01-22,2021-01-29,33.0,231.99999999999997,near_expiry,-20.466573749999974,-15.000000000000023,-1.3880999999999517,4.07847375,15
2021-01-28,2021-02-16,2021-02-26,35.0,267.0,stop_loss,-579.8834209500003,-291.99999999999994,-284.3323000000003,3.5511209500000014,12
2021-02-26,2021-03-19,2021-03-26,41.5,319.00000000000006,near_expiry,415.8720902000003,120.00000000000006,302.3180000000002,6.445909799999999,15
2021-05-10,2021-06-04,2021-06-11,44.5,340.0,near_expiry,42.30743945000022,44.00000000000005,5.715500000000173,7.40806055,18
2021-06-09,2021-07-02,2021-07-09,47.5,306.0,near_expiry,-192.45724135000006,-80.00000000000003,-107.35390000000005,5.103341349999999,17
2021-07-08,2021-07-30,2021-08-06,49.5,366.0,near_expiry,339.3368116,168.0,178.59999999999997,7.263188399999999,16
2021-08-09,2021-09-03,2021-09-10,46.5,405.0,near_expiry,240.5470186000003,154.0,95.12780000000033,8.5807814,19
2021-09-20,2021-10-14,2021-10-22,49.5,361.00000000000006,stop_loss,-755.0188063000003,-382.0,-366.89800000000025,6.1208063,18
2021-10-19,2021-11-12,2021-11-19,57.0,409.0,near_expiry,318.7456419999998,178.00000000000003,148.33039999999983,7.584757999999999,18
2021-11-17,2021-12-01,2021-12-17,55.0,395.0,stop_loss,-450.5191746000001,-420.0,-23.630400000000108,6.8887746000000005,9
2022-01-14,2022-02-04,2022-02-11,60.0,441.0,near_expiry,-277.63043919999984,-98.0,-174.35979999999986,5.2706392000000015,14
2022-02-14,2022-03-04,2022-03-18,66.0,635.0,stop_loss,-1401.5569812499998,-861.0000000000001,-532.9418999999996,7.615081249999999,13
2022-05-06,2022-05-27,2022-06-03,82.0,875.0,near_expiry,586.2613879000007,398.0,198.80040000000082,10.539012100000003,15
2022-06-06,2022-07-01,2022-07-08,88.0,900.0,near_expiry,323.9195590000003,218.00000000000006,118.78160000000017,12.862041000000001,18
