entry_date,exit_date,expiry,call_strike,put_strike,premium_received,trade_pnl,holding_days,exit_reason,entry_gamma,entry_vega,entry_delta
2020-05-04,2020-05-29,2020-06-05,20.0,20.0,381.0,-221.0,18,near_expiry,16.8,4.62,1.529999999999998
2020-06-02,2020-06-25,2020-07-02,27.5,27.5,351.0,164.00000000000003,17,near_expiry,18.279999999999998,6.16,-2.1299999999999986
2020-07-01,2020-07-24,2020-07-31,28.5,28.5,288.0,142.99999999999997,16,near_expiry,21.78,6.5,3.360000000000002
2020-07-30,2020-08-21,2020-08-28,29.0,29.0,238.99999999999997,92.00000000000003,16,near_expiry,26.419999999999998,6.5,2.429999999999999
2020-08-28,2020-09-08,2020-09-25,31.0,31.0,185.0,-255.00000000000003,6,stop_loss,34.0,6.76,-5.990000000000001
2020-09-28,2020-10-23,2020-10-30,29.0,29.0,225.99999999999997,74.99999999999996,19,near_expiry,27.72,6.819999999999999,-3.4499999999999975
2020-10-27,2020-11-20,2020-11-27,28.0,28.0,262.0,101.00000000000009,18,near_expiry,24.8,6.4799999999999995,-1.9699999999999995
2020-11-25,2020-12-17,2020-12-24,31.5,31.5,241.0,53.000000000000014,15,near_expiry,25.740000000000002,7.06,-0.379999999999997
2020-12-24,2021-01-15,2021-01-22,33.0,33.0,227.0,-29.999999999999993,14,near_expiry,27.839999999999996,7.42,-0.23999999999999577
2021-01-22,2021-02-12,2021-02-19,35.5,35.5,239.0,-215.00000000000009,15,near_expiry,28.16,7.739999999999999,-4.560000000000003
2021-02-22,2021-03-19,2021-03-26,41.5,41.5,324.0,125.0,19,near_expiry,20.64,9.76,0.23999999999999577
2021-03-23,2021-04-16,2021-04-23,39.5,39.5,380.0,-4.999999999999982,17,near_expiry,16.259999999999998,9.139999999999999,2.959999999999996
2021-04-21,2021-05-14,2021-05-21,42.0,42.0,330.0,23.99999999999997,17,near_expiry,19.18,9.56,-0.13000000000000234
2021-05-20,2021-06-11,2021-06-18,43.0,43.0,328.0,-191.00000000000006,15,near_expiry,20.74,9.520000000000001,-4.180000000000006
2021-06-18,2021-07-09,2021-07-16,49.0,49.0,318.0,101.00000000000001,14,near_expiry,20.919999999999998,10.66,-8.78
2021-07-19,2021-08-13,2021-08-20,46.0,46.0,424.0,204.9999999999999,19,near_expiry,15.079999999999998,10.8,-0.7500000000000007
2021-08-17,2021-09-10,2021-09-17,47.0,47.0,361.00000000000006,122.00000000000001,17,near_expiry,17.580000000000002,10.879999999999999,-2.9600000000000017
2021-09-15,2021-10-08,2021-10-15,51.0,51.0,336.00000000000006,-138.99999999999994,17,near_expiry,19.52,11.62,-2.4299999999999935
2021-10-14,2021-11-05,2021-11-12,57.0,57.0,398.0,170.99999999999994,16,near_expiry,15.9,12.78,0.019999999999997797
2021-11-12,2021-12-01,2021-12-10,56.0,56.0,409.99999999999994,-489.99999999999994,12,stop_loss,15.340000000000002,12.36,3.079999999999994
2021-12-13,2022-01-07,2022-01-14,52.0,52.0,451.99999999999994,-43.999999999999986,18,near_expiry,13.819999999999999,12.22,-1.4600000000000002
2022-01-11,2022-02-04,2022-02-11,58.5,58.5,391.0,-287.9999999999999,17,near_expiry,15.58,13.54,-3.039999999999993
2022-02-09,2022-03-02,2022-03-11,64.5,64.5,490.00000000000006,-685.0000000000001,14,stop_loss,12.08,14.66,-2.080000000000004
2022-03-10,2022-04-01,2022-04-08,75.0,75.0,1070.0,647.0000000000005,16,near_expiry,5.779999999999999,16.66,1.7099999999999949
2022-04-08,2022-04-29,2022-05-06,75.0,75.0,780.0,318.00000000000006,14,near_expiry,7.88,16.46,-0.19999999999999463
2022-05-09,2022-06-03,2022-06-10,77.5,77.5,944.9999999999999,-277.00000000000034,18,near_expiry,6.68,18.14,-0.649999999999995
2022-06-07,2022-07-01,2022-07-08,91.0,91.0,864.9999999999999,-94.00000000000018,17,near_expiry,7.26,21.0,-2.9100000000000015
2022-07-06,2022-07-29,2022-08-05,75.0,74.0,770.0,311.9999999999999,17,near_expiry,7.3999999999999995,16.82,-0.12000000000000344
2022-08-04,2022-08-26,2022-09-02,72.0,72.0,710.0,193.00000000000017,16,near_expiry,8.6,16.1,0.990000000000002
2022-09-02,2022-09-23,2022-09-30,72.5,72.0,740.0,19.99999999999997,14,near_expiry,8.049999999999999,15.83,-0.3599999999999992
2022-10-03,2022-10-28,2022-11-04,69.0,68.5,790.0,326.00000000000006,19,near_expiry,7.720000000000001,15.999999999999998,-0.539999999999996
2022-11-01,2022-11-25,2022-12-02,74.0,73.5,695.0,46.00000000000007,17,near_expiry,8.61,17.04,0.269999999999998
2022-11-30,2022-12-23,2022-12-30,71.0,70.5,616.0,344.0,17,near_expiry,9.370000000000001,16.08,0.830000000000003
2022-12-29,2023-01-20,2023-01-27,69.0,69.0,582.0,230.0000000000001,14,near_expiry,10.66,15.42,-1.2600000000000056
2023-01-27,2023-02-17,2023-02-24,70.0,70.0,534.0,172.0,15,near_expiry,11.82,15.4,-0.9199999999999986
2023-02-27,2023-03-24,2023-03-31,67.0,66.5,521.0000000000001,-82.99999999999967,19,near_expiry,11.67,15.589999999999998,-0.6799999999999973
2023-03-28,2023-04-21,2023-04-28,65.0,65.0,572.0000000000001,169.0000000000002,17,near_expiry,10.780000000000001,15.02,0.20000000000000018
2023-04-26,2023-05-19,2023-05-26,66.0,65.5,499.0,245.9999999999998,17,near_expiry,11.56,14.96,0.5800000000000027
2023-05-25,2023-06-16,2023-06-23,64.5,64.5,476.99999999999994,268.0,15,near_expiry,13.120000000000001,14.44,-0.6099999999999994
2023-06-23,2023-07-14,2023-07-21,63.0,62.5,410.99999999999994,-71.0000000000001,14,near_expiry,14.150000000000002,13.81,0.6099999999999994
2023-07-24,2023-08-18,2023-08-25,71.0,71.0,466.0,198.00000000000014,19,near_expiry,13.44,16.7,0.30999999999999917
2023-08-22,2023-09-14,2023-09-22,73.0,72.5,416.0,-483.99999999999994,16,stop_loss,14.04,16.770000000000003,-1.859999999999995
2023-09-20,2023-10-13,2023-10-20,81.0,80.0,443.99999999999994,43.99999999999985,17,near_expiry,12.719999999999999,18.259999999999998,1.6300000000000037
2023-10-19,2023-11-10,2023-11-17,82.0,82.0,730.0000000000001,-315.9999999999999,16,near_expiry,8.540000000000001,18.34,2.3700000000000054
2023-11-17,2023-12-08,2023-12-15,71.0,71.0,579.0,99.00000000000013,14,near_expiry,11.12,15.620000000000001,1.8299999999999983
2023-12-18,2024-01-12,2024-01-19,69.0,68.0,499.0,271.99999999999994,17,near_expiry,11.61,16.02,-0.15999999999999903
2024-01-16,2024-02-09,2024-02-16,68.0,68.0,546.0,126.99999999999991,18,near_expiry,11.48,15.72,-1.7799999999999983
2024-02-14,2024-03-08,2024-03-15,72.0,72.0,480.0,224.00000000000009,16,near_expiry,13.28,16.38,-1.6599999999999948
2024-03-14,2024-04-05,2024-04-12,76.5,76.5,445.0,-336.0,15,near_expiry,13.819999999999999,17.14,0.8099999999999996
2024-04-12,2024-05-03,2024-05-10,82.0,81.5,452.99999999999994,-255.00000000000003,15,near_expiry,12.76,17.990000000000002,0.38000000000000256
2024-05-13,2024-06-07,2024-06-14,76.5,76.5,434.0,30.999999999999986,18,near_expiry,14.62,18.0,-0.539999999999996
2024-06-11,2024-07-05,2024-07-12,76.0,75.5,359.0,-204.99999999999983,16,near_expiry,16.12,17.549999999999997,0.9800000000000031
2024-07-10,2024-07-29,2024-08-09,81.0,80.5,344.0,-386.0,13,stop_loss,17.099999999999998,18.34,-1.7500000000000016
2024-08-08,2024-08-30,2024-09-06,76.0,75.5,472.00000000000006,213.00000000000009,16,near_expiry,12.5,16.97,0.009999999999998899
2024-09-06,2024-09-27,2024-10-04,69.5,69.0,474.0,182.00000000000017,15,near_expiry,12.33,15.15,-0.6799999999999973
2024-10-07,2024-11-01,2024-11-08,80.0,80.0,875.0,-142.00000000000028,19,near_expiry,7.1,18.759999999999998,1.539999999999997
2024-11-05,2024-11-29,2024-12-06,75.5,75.0,461.00000000000006,23.000000000000156,17,near_expiry,10.04,17.380000000000003,-0.8400000000000019
2024-12-04,2024-12-27,2025-01-03,72.5,72.0,394.0,189.99999999999994,16,near_expiry,12.55,16.470000000000002,0.019999999999997797
2025-01-02,2025-01-13,2025-01-31,77.5,77.0,306.0,-358.0,6,stop_loss,15.0,17.25,0.3599999999999992
2025-01-31,2025-02-03,2025-02-28,78.5,78.0,48.0,-413.0,1,stop_loss,12.98,17.169999999999998,0.20000000000000018
2025-03-03,2025-03-28,2025-04-04,73.5,73.5,456.00000000000006,204.00000000000003,19,near_expiry,12.78,17.299999999999997,0.23999999999999577
2025-04-01,2025-04-04,2025-05-02,77.5,77.5,445.0,-791.0,3,stop_loss,12.479999999999999,17.96,-0.5800000000000027
2025-04-30,2025-05-23,2025-05-30,64.5,64.0,659.0,242.99999999999997,17,near_expiry,9.190000000000001,14.510000000000002,-0.29000000000000137
2025-05-29,2025-06-13,2025-06-27,67.5,67.5,510.99999999999994,-890.0000000000003,11,stop_loss,12.559999999999999,15.120000000000001,1.6200000000000048
2025-06-27,2025-07-18,2025-07-25,73.5,73.5,536.0,226.99999999999997,14,near_expiry,12.44,16.18,0.8500000000000063
2025-07-28,2025-08-22,2025-08-29,77.5,77.0,511.99999999999994,214.99999999999997,19,near_expiry,12.040000000000001,18.180000000000003,1.5999999999999959
2025-08-26,2025-09-19,2025-09-26,74.5,74.5,501.99999999999994,298.99999999999994,17,near_expiry,12.68,17.26,-1.0399999999999965
2025-09-24,2025-10-15,2025-10-24,77.0,76.5,469.99999999999994,-470.00000000000017,15,stop_loss,13.11,17.49,-0.2599999999999991
2025-10-23,2025-11-14,2025-11-21,74.0,73.5,559.0,263.0,16,near_expiry,10.95,16.520000000000003,0.6599999999999995
