entry_date,exit_date,expiry,call_strike,put_strike,premium_received,trade_pnl,holding_days,exit_reason,entry_gamma,entry_vega,entry_delta
2020-05-04,2020-05-21,2020-06-05,23.5,16.5,143.00000000000003,-249.00000000000003,13,stop_loss,12.379999999999999,3.5600000000000005,0.010000000000001674
2020-06-02,2020-06-25,2020-07-02,31.0,24.5,131.99999999999997,103.99999999999997,17,near_expiry,13.719999999999999,5.029999999999999,-1.5300000000000036
2020-07-01,2020-07-24,2020-07-31,31.0,26.0,114.99999999999999,101.99999999999996,16,near_expiry,16.86,5.24,-0.15000000000000013
2020-07-30,2020-08-21,2020-08-28,31.0,27.0,95.0,77.0,16,near_expiry,20.72,5.25,-2.24
2020-08-28,2020-09-04,2020-09-25,32.5,29.0,65.0,-72.0,5,stop_loss,24.98,5.319999999999999,-0.48000000000000265
2020-09-28,2020-10-23,2020-10-30,30.5,26.5,88.0,63.99999999999997,19,near_expiry,21.44,5.47,3.990000000000002
2020-10-27,2020-10-30,2020-11-27,30.0,25.5,103.0,-128.99999999999997,3,stop_loss,18.73,5.2,-1.2199999999999989
2020-11-25,2020-12-17,2020-12-24,33.5,29.0,90.0,51.99999999999999,15,near_expiry,18.97,5.6899999999999995,2.729999999999999
2020-12-24,2021-01-15,2021-01-22,35.0,31.0,86.00000000000001,2.0000000000000404,14,near_expiry,20.86,5.99,-1.6400000000000026
2021-01-22,2021-02-08,2021-02-19,37.5,33.0,90.0,-90.0,11,stop_loss,19.35,6.1,-1.7600000000000005
2021-02-22,2021-03-19,2021-03-26,44.0,38.5,129.0,87.99999999999997,19,near_expiry,15.100000000000001,8.129999999999999,2.149999999999999
2021-03-23,2021-04-16,2021-04-23,43.0,36.0,138.0,-165.0,17,stop_loss,12.35,7.16,0.15000000000000013
2021-04-21,2021-05-14,2021-05-21,45.0,39.0,123.0,53.99999999999997,17,near_expiry,14.510000000000002,7.5,-1.0300000000000002
2021-05-20,2021-06-11,2021-06-18,46.0,40.0,119.0,-106.99999999999994,15,near_expiry,14.429999999999998,7.470000000000001,-3.9199999999999986
2021-06-18,2021-07-09,2021-07-16,51.0,46.0,139.0,74.00000000000001,14,near_expiry,16.02,8.940000000000001,-0.40000000000000036
2021-07-19,2021-08-13,2021-08-20,49.5,42.0,158.0,141.00000000000006,19,near_expiry,11.469999999999999,8.43,-0.5599999999999994
2021-08-17,2021-09-10,2021-09-17,50.0,43.0,122.0,87.0,17,near_expiry,12.89,8.19,1.0399999999999991
2021-09-15,2021-10-08,2021-10-15,54.0,48.0,127.0,-68.99999999999997,17,near_expiry,14.379999999999999,9.11,-1.3800000000000008
2021-10-14,2021-11-05,2021-11-12,61.0,53.5,140.0,108.99999999999997,16,near_expiry,11.88,10.020000000000001,-2.1299999999999986
2021-11-12,2021-11-26,2021-12-10,59.5,52.5,156.0,-284.0,9,stop_loss,12.159999999999998,10.02,0.6799999999999973
2021-12-13,2022-01-07,2022-01-14,55.5,47.5,174.0,-1.000000000000019,18,near_expiry,10.54,9.8,-0.5899999999999989
2022-01-11,2022-02-04,2022-02-11,62.0,54.5,143.0,-206.0000000000001,17,stop_loss,11.649999999999999,10.549999999999999,-0.9999999999999981
2022-02-09,2022-02-11,2022-03-11,68.5,58.0,151.0,-287.0,2,stop_loss,8.64,11.34,0.7700000000000012
2022-03-10,2022-03-11,2022-04-08,87.0,66.5,378.0,-402.0,1,stop_loss,4.43,13.55,0.48999999999999877
2022-04-08,2022-04-29,2022-05-06,83.0,68.0,263.99999999999994,198.99999999999997,14,near_expiry,5.98,12.920000000000002,1.3000000000000012
2022-05-09,2022-06-03,2022-06-10,86.0,69.0,334.99999999999994,-97.0,18,near_expiry,5.13,14.17,2.200000000000002
